songID,chromaC_mean,chromaC#_mean,chromaD_mean,chromaD#_mean,chromaE_mean,chromaF_mean,chromaF#_mean,chromaG_mean,chromaG#_mean,chromaA_mean,chromaA#_mean,chromaB_mean,chromaC_std,chromaC#_std,chromaD_std,chromaD#_std,chromaE_std,chromaF_std,chromaF#_std,chromaG_std,chromaG#_std,chromaA_std,chromaA#_std,chromaB_std,chromaC_var,chromaC#_var,chromaD_var,chromaD#_var,chromaE_var,chromaF_var,chromaF#_var,chromaG_var,chromaG#_var,chromaA_var,chromaA#_var,chromaB_var,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc1_std,mfcc2_std,mfcc3_std,mfcc4_std,mfcc5_std,mfcc6_std,mfcc7_std,mfcc8_std,mfcc9_std,mfcc10_std,mfcc11_std,mfcc12_std,mfcc13_std,mfcc1_var,mfcc2_var,mfcc3_var,mfcc4_var,mfcc5_var,mfcc6_var,mfcc7_var,mfcc8_var,mfcc9_var,mfcc10_var,mfcc11_var,mfcc12_var,mfcc13_var,rms_mean,rms_std,rms_var,zcr_mean,zcr_std,zcr_var,tempo,centroid_mean,centroid_std,centroid_var,bandwidth_mean,bandwidth_std,bandwidth_var,flatness_mean,flatness_std,flatness_var,rolloff_mean,rolloff_std,rolloff_var,tonnetz0_mean,tonnetz1_mean,tonnetz2_mean,tonnetz3_mean,tonnetz4_mean,tonnetz5_mean,tonnetz0_std,tonnetz1_std,tonnetz2_std,tonnetz3_std,tonnetz4_std,tonnetz5_std,tonnetz0_var,tonnetz1_var,tonnetz2_var,tonnetz3_var,tonnetz4_var,tonnetz5_var,tgr0_mean,tgr1_mean,tgr2_mean,tgr3_mean,tgr4_mean,tgr5_mean,tgr6_mean,tgr7_mean,tgr8_mean,tgr9_mean,tgr10_mean,tgr11_mean,tgr12_mean,tgr0_std,tgr1_std,tgr2_std,tgr3_std,tgr4_std,tgr5_std,tgr6_std,tgr7_std,tgr8_std,tgr9_std,tgr10_std,tgr11_std,tgr12_std,tgr0_var,tgr1_var,tgr2_var,tgr3_var,tgr4_var,tgr5_var,tgr6_var,tgr7_var,tgr8_var,tgr9_var,tgr10_var,tgr11_var,tgr12_var,logattacktime,attackstart,attackstop,loudness,danceability,predominantpitch_mean,predominantpitch_std,predominantpitch_var,pitchsalience_mean,pitchsalience_std,pitchsalience_var,complexity_mean,complexity_std,complexity_var,flux_mean,flux_std,flux_var,inharmonicity_mean,inharmonicity_std,inharmonicity_var,tristimulus1_mean,tristimulus2_mean,tristimulus3_mean,tristimulus1_std,tristimulus2_std,tristimulus3_std,tristimulus1_var,tristimulus2_var,tristimulus3_var,oddevenratio_mean,oddevenratio_std,oddevenratio_var,AMBMenergyratio,key,scale,strength,tuningfrequency,sentiment
MT0000299291,0.42858839,0.409845173,0.574586391,0.433753997,0.428848714,0.511689425,0.324661821,0.344013453,0.295726895,0.510429978,0.334970981,0.337114125,0.291844398,0.221615583,0.328057528,0.245520353,0.24510479,0.338124424,0.220575303,0.309972942,0.196381718,0.333832353,0.246120408,0.236403003,0.085173145,0.049113467,0.107621737,0.060280241,0.060076356,0.114328124,0.048653465,0.096083216,0.038565781,0.111444034,0.060575254,0.055886377,-13.65324593,65.26338959,8.866800308,8.907094955,4.678328514,20.38096428,-3.591424465,5.817979336,2.117242813,8.154539108,-3.340711832,-0.310226053,0.568792403,65.26177216,20.34280968,12.51872826,13.43715763,8.887784958,9.411844254,8.116873741,7.909700394,8.141440392,8.49846077,7.221534252,6.650696278,6.675425053,4259.098633,413.8299255,156.7185669,180.5572052,78.99272919,88.58280945,65.88363647,62.56335831,66.28305054,72.22383881,52.15055466,44.23175812,44.56130219,0.255643487,0.086195499,0.007429664,0.124452522,0.075100292,0.005640054,117.4538352,3148.336577,826.2752428,682730.7768,2964.225255,261.9951389,68641.45278,0.044145923,0.042295732,0.001788929,6848.223712,1067.261127,1139046.313,0.192629654,0.192058986,-0.081617152,-0.137135362,-0.081369871,-8.00E-05,0.156923467,0.135934588,0.113653385,0.295485294,0.086237787,0.090718142,0.024624974,0.018478212,0.012917092,0.087311559,0.007436956,0.008229781,0.601318508,0.415515771,0.438006594,0.768739153,0.57654614,0.42145793,0.746871511,0.640525531,0.448195528,0.607395036,0.437801694,0.378141966,0.321213601,0.026548432,0.067167992,0.055960475,0.0434985,0.034804028,0.058793321,0.045834464,0.053947592,0.057204175,0.06087424,0.06237332,0.061270458,0.064474127,0.000704819,0.004511539,0.003131575,0.001892119,0.00121132,0.003456655,0.002100798,0.002910343,0.003272318,0.003705673,0.003890431,0.003754069,0.004156913,0.163799405,0.492970526,1.951111078,1369.524292,1.42647326,256.1502075,221.4215546,49027.50781,0.458557695,0.117891692,0.013898452,39.22530746,10.77105427,116.0156021,0.171721339,0.08879187,0.007883996,0.058402456,0.064895988,0.004211489,0.320428789,0.255969137,0.423602104,0.161327913,0.187051669,0.163029507,0.026026694,0.034988325,0.02657862,0.998664021,3.019570112,9.117803574,1.44591701,6,-1,0.934885263,440.4158936,0
MT0000255724,0.264751047,0.297298312,0.311508268,0.373738736,0.623636901,0.345903695,0.349724859,0.263121814,0.341204584,0.464903653,0.288233191,0.399786294,0.214391202,0.258015662,0.297560126,0.243581727,0.352853894,0.246169642,0.32585007,0.242865995,0.279707253,0.354066163,0.212046966,0.330838352,0.045963585,0.066572078,0.088542037,0.059332058,0.124505877,0.060599491,0.106178269,0.058983892,0.078236155,0.125362858,0.044963915,0.109454006,-54.59607315,92.10856628,4.635463715,25.70630074,2.981714487,8.099034309,-5.288333893,5.734980583,-0.818835795,7.464643002,-6.126345158,6.021902561,-1.028290272,78.84107208,30.34659195,20.79172325,14.76075077,9.877637863,8.117525101,7.835639477,8.300260544,8.324430466,8.535260201,7.626049042,8.113571167,6.372722149,6215.915039,920.9156494,432.2957458,217.8797607,97.56773376,65.89421844,61.39724731,68.89433289,69.29614258,72.85066223,58.15662384,65.83003998,40.61158752,0.202996656,0.069749929,0.004865053,0.106124819,0.073022038,0.005332218,135.9991776,2436.85248,954.0189217,910152.103,2565.42456,493.4782782,243520.811,0.025710953,0.037479188,0.00140469,5344.432934,1785.508872,3188041.93,0.222074352,-0.149239888,-0.117126891,0.016416348,0.024642429,0.021350705,0.178132977,0.146654336,0.122542764,0.244900549,0.07761411,0.083405453,0.031731358,0.021507494,0.015016729,0.059976279,0.00602395,0.00695647,0.497314616,0.486476828,0.487670419,0.564645718,0.51226954,0.492126467,0.753384619,0.534519427,0.486212617,0.753354399,0.625070677,0.43803741,0.580407337,0.099940707,0.091009891,0.093096541,0.0997631,0.098090731,0.102171462,0.085631137,0.098725939,0.104165164,0.061725047,0.086056696,0.092223,0.102334102,0.009988145,0.0082828,0.008666966,0.009952676,0.009621791,0.010439008,0.007332692,0.009746811,0.010850381,0.003809981,0.007405755,0.008505082,0.010472268,-0.049118798,1.344036341,2.237097502,1009.593994,1.05191505,172.9897766,162.4547577,26391.54688,0.547189951,0.092638656,0.008581921,34.25077057,12.26008987,150.3097992,0.147165552,0.080322437,0.006451693,0.086426526,0.106407344,0.011322523,0.21901536,0.39776808,0.380130231,0.142948315,0.172886208,0.160340041,0.020434221,0.029889639,0.025708929,2.134551525,4.378762245,19.17355919,3.566616058,1,1,0.931550443,442.9926758,0
MT0000203272,0.464250177,0.291891694,0.308510244,0.262613386,0.353544772,0.325077951,0.261648089,0.310877651,0.389489233,0.627806902,0.413735986,0.454151809,0.311295956,0.226709932,0.283652037,0.234533191,0.271924287,0.290359646,0.225494504,0.269370645,0.270052403,0.348708749,0.272851259,0.302848071,0.096905164,0.051397394,0.080458485,0.055005819,0.073942818,0.084308729,0.050847769,0.072560549,0.072928302,0.121597789,0.074447811,0.091716945,-88.83157349,112.5650253,-52.08294296,21.85986328,-49.65610886,25.61404419,-25.97112274,17.50323105,-14.98356533,1.198085546,-11.13860321,-6.288846493,0.660685778,61.15089417,21.27083969,22.06652451,18.31829453,21.17310715,14.13705635,16.56931496,14.86810684,10.95651436,10.46198082,10.60433483,9.160810471,7.775392056,3739.431885,452.4486084,486.931488,335.5599365,448.3005066,199.856369,274.5421753,221.0606079,120.0451965,109.4530411,112.4519196,83.92045593,60.45672226,0.166927278,0.081042789,0.006567933,0.122004171,0.046320858,0.002145622,123.046875,2143.210292,497.9074064,247911.7854,1955.605591,268.1054128,71880.51237,0.001061906,0.028210318,0.000795822,4473.827502,1055.368395,1113802.449,0.171364836,0.041133475,-0.124458908,0.064612607,-0.021853878,0.043976307,0.102150527,0.100669222,0.169886369,0.128375761,0.053435395,0.061322956,0.01043473,0.010134292,0.028861378,0.016480336,0.002855341,0.003760505,0.518911284,0.557729402,0.537137673,0.609058867,0.560604707,0.554802178,0.654555222,0.608080369,0.515582422,0.566109174,0.51908091,0.443401821,0.410865585,0.04221173,0.062965685,0.048573849,0.080129772,0.059454337,0.054572706,0.063065144,0.09279142,0.053999809,0.056717565,0.080380326,0.064580621,0.086203507,0.00178183,0.003964678,0.002359419,0.00642078,0.003534818,0.00297818,0.003977212,0.008610248,0.002915979,0.003216882,0.006460997,0.004170657,0.007431045,0.902562797,0.909523785,8.89981842,814.7984619,1.701367378,231.9986115,271.0713196,73479.65625,0.593563974,0.116088979,0.013476651,31.531847,11.58259964,134.1566162,0.165430397,0.096893549,0.00938836,0.096807629,0.107076019,0.011465274,0.233587086,0.369031906,0.397381574,0.267780691,0.216414675,0.284266979,0.071706496,0.046835311,0.080807716,2.218284369,4.933265209,24.3371067,0.078143276,1,-1,0.88352859,440.6072998,0
MT0000315392,0.422129631,0.326194555,0.338418752,0.345859706,0.345100313,0.50442189,0.396011144,0.464427859,0.433762461,0.442417413,0.500333667,0.377716571,0.316476434,0.255508572,0.288618207,0.280742854,0.247876287,0.349255711,0.262366593,0.312504411,0.270044029,0.29797852,0.33727017,0.261835009,0.100157335,0.065284632,0.083300464,0.078816555,0.061442655,0.121979557,0.068836235,0.097658999,0.072923772,0.088791199,0.113751158,0.068557568,-113.6544189,90.34968567,21.31223869,19.10073471,11.79211903,14.23940754,-1.847888112,7.346918583,-2.604376554,5.986671448,-0.154774919,0.61082679,-5.448204041,59.25610733,30.73300362,20.16526794,15.41884708,11.67426014,11.10184383,11.35607433,9.331853867,9.285748482,8.544710159,7.765916824,8.842842102,8.406840324,3511.286133,944.5175171,406.6380005,237.7408447,136.2883606,123.2509308,128.960434,87.08349609,86.22512054,73.0120697,60.3094635,78.19586182,70.67495728,0.131452903,0.0506984,0.002570328,0.095935407,0.078224007,0.006118995,117.4538352,2434.895776,993.8810122,987799.4664,2749.199474,425.4592376,181015.5628,0.020849911,0.049000546,0.002401054,5624.798062,1837.746655,3377312.768,-0.07182929,0.222924537,-0.0528144,0.000932316,-0.006571225,-0.026882972,0.160986942,0.126582223,0.153113693,0.172109251,0.078478631,0.060158525,0.025916795,0.016023059,0.023443803,0.029621594,0.006158895,0.003619048,0.484582066,0.516563169,0.495365847,0.66894641,0.493319911,0.513073255,0.699817995,0.626441917,0.49065456,0.601737914,0.481362057,0.442250934,0.386673064,0.069271776,0.066186699,0.069633344,0.075639471,0.072988876,0.072690034,0.065621636,0.057242755,0.074404168,0.07056211,0.064150333,0.066257128,0.060315396,0.004798579,0.004380679,0.004848803,0.00572133,0.005327376,0.005283841,0.004306199,0.003276733,0.00553598,0.004979011,0.004115265,0.004390007,0.003637947,0.702621996,0.311473936,5.353696346,574.9087524,1.57356751,134.0658569,102.8843002,10585.17969,0.578606486,0.107058004,0.011461415,21.15331268,8.624708176,74.3855896,0.100456342,0.06634856,0.004402131,0.078600429,0.121236138,0.014698202,0.290524632,0.391698837,0.308531493,0.18363367,0.143939406,0.140075251,0.033721324,0.020718552,0.019621074,1.525579333,6.872772217,47.2349968,0.404434353,9,-1,0.826209068,440.2246704,0
MT0000004637,0.408590496,0.326529652,0.50038743,0.306420505,0.305317283,0.401996344,0.212080553,0.190280274,0.140420228,0.219598055,0.327568173,0.244931206,0.391534835,0.245029107,0.378218621,0.250926912,0.265834302,0.319874406,0.220327869,0.240001634,0.157405138,0.231958956,0.341666251,0.218943089,0.153299525,0.060039263,0.14304933,0.06296432,0.07066787,0.102319628,0.04854437,0.057600785,0.024776379,0.05380496,0.116735831,0.047936074,-230.0548248,99.93806458,-31.7350502,28.18566513,-9.294906616,-16.22155571,-4.632230282,-2.228409529,-13.77118683,-2.765662909,-5.408616066,5.981454849,-1.961212754,88.11226654,19.87127686,35.61858749,19.48327637,13.17403984,16.52401543,10.69506073,8.895266533,8.719460487,7.921194077,7.603105545,8.047722816,6.516211987,7763.771484,394.8676147,1268.683838,379.5980225,173.5553284,273.0430908,114.3843155,79.12576294,76.02898407,62.74531937,57.80721664,64.76583862,42.46101761,0.05954634,0.054395035,0.00295882,0.110148332,0.03538626,0.001252187,161.4990234,2139.450503,346.0054567,119719.7761,2024.798719,502.4005843,252406.3471,0.011969018,0.01644898,0.000270569,4037.691749,1081.065015,1168701.566,0.066095278,0.067680582,-0.105937243,-0.048102813,0.006003881,-0.027032546,0.106745408,0.100105429,0.131436188,0.207365999,0.055826049,0.062722043,0.011394582,0.010021097,0.017275472,0.043000658,0.003116548,0.003934055,0.335381201,0.362657596,0.341965021,0.403586111,0.328116713,0.316191139,0.783284245,0.398263907,0.347211677,0.690116244,0.567847021,0.300979875,0.477161201,0.030382098,0.026835103,0.026521666,0.062765663,0.031506214,0.02741698,0.035861481,0.067787969,0.040255789,0.071680498,0.074776611,0.031291747,0.095497252,0.000923072,0.000720123,0.000703399,0.003939528,0.000992641,0.000751691,0.001286046,0.004595209,0.001620529,0.005138094,0.005591542,0.000979173,0.009119725,0.677805483,1.37863946,6.140816212,272.2671814,1.194696903,254.5862885,264.4835205,69951.53906,0.614315271,0.126487747,0.015999151,8.957561493,8.277342796,68.5144043,0.061377335,0.066203922,0.00438296,0.104414172,0.111740947,0.01248604,0.156569049,0.46459192,0.378838986,0.215777203,0.213619635,0.250866503,0.046559799,0.04563335,0.062934004,3.297781467,7.678051949,58.95248413,0.362483978,2,1,0.705386341,435.4736633,0
MT0000379144,0.437466204,0.397392541,0.4007819,0.326196223,0.297137082,0.553413749,0.401309371,0.321875572,0.426788121,0.49338761,0.456584066,0.324955285,0.334503382,0.269533813,0.281706333,0.23092252,0.193832353,0.326974005,0.248483792,0.256879717,0.289673179,0.29385668,0.317839235,0.251122057,0.111892521,0.072648473,0.079358466,0.053325213,0.037570983,0.106911995,0.061744194,0.065987185,0.083910555,0.086351752,0.101021782,0.06306228,-126.0186539,54.17786026,-4.006916523,27.43516541,2.222432613,1.749659181,-3.696768284,2.845660448,-12.3593092,2.853671074,-8.552742958,5.431771755,-6.966999054,73.86734772,17.1467495,16.35191727,12.87071228,9.152387619,11.09828663,7.941725731,8.561922073,8.25037384,7.559871674,8.163422585,8.224879265,6.794834137,5456.385254,294.0110168,267.3851929,165.6552277,83.76620483,123.1719589,63.07100677,73.30651093,68.06866455,57.15166092,66.64147186,67.64863586,46.1697731,0.073965512,0.046474345,0.002159865,0.176362663,0.050571579,0.002557485,95.703125,3248.21177,426.6476583,182028.2243,2805.635284,202.8089636,41131.47572,0.050204832,0.032414407,0.001050694,6842.611777,731.4134091,534965.575,-0.065185345,0.074226357,-0.051714609,-0.037832895,-0.025175804,-0.02606054,0.108665064,0.10967343,0.128899975,0.139624918,0.057250205,0.049378831,0.011808096,0.012028261,0.016615204,0.019495118,0.003277586,0.002438269,0.613357232,0.678746551,0.687177717,0.608843334,0.604397667,0.680532026,0.794352399,0.579262417,0.665563055,0.698246308,0.598822739,0.559278878,0.484163664,0.041881139,0.044817022,0.059517616,0.115028636,0.055111932,0.086750286,0.051786697,0.1269442,0.061158099,0.082177948,0.081388821,0.066536328,0.085209767,0.00175403,0.002008565,0.003542347,0.013231587,0.003037325,0.007525612,0.002681862,0.01611483,0.003740313,0.006753215,0.00662414,0.004427083,0.007260704,1.089999557,1.940045357,14.24272156,302.9649658,1.209271789,358.9779053,280.6809387,78781.79688,0.616067231,0.097845159,0.009573675,16.50462914,9.771144867,95.47528076,0.064862862,0.051379949,0.002639899,0.089924321,0.09005931,0.008110679,0.175445184,0.370796561,0.453758657,0.152889073,0.14795436,0.164615914,0.02337507,0.021890491,0.027098397,2.620873928,7.488681316,56.08034897,0.077359736,2,1,0.899814427,437.8947754,0
MT0000300896,0.325410128,0.170573011,0.227745056,0.155919194,0.249375135,0.424963653,0.251420051,0.314544499,0.264342695,0.491843104,0.357018799,0.238287136,0.322006196,0.168713927,0.269768119,0.179692343,0.229424268,0.35409376,0.205806017,0.362017661,0.197694287,0.368285656,0.319122195,0.211999327,0.103687987,0.028464388,0.072774835,0.032289337,0.052635495,0.125382394,0.042356115,0.131056786,0.03908303,0.135634333,0.101838984,0.044943713,-172.351181,97.96644592,-7.19883585,34.42725754,6.922545433,-13.56670475,-0.521145046,1.445109725,-17.7980938,-12.16483593,-8.071864128,-4.770208359,-13.37187481,40.98553467,12.56292343,15.28679943,11.70435333,11.7396574,9.064644814,8.923879623,8.039872169,5.867105484,6.755302429,6.563090801,6.420005798,6.378071308,1679.814087,157.8270569,233.6862488,136.9918823,137.8195496,82.16779327,79.63562012,64.63954163,34.42292404,45.6341095,43.07416153,41.21647644,40.67979431,0.077059314,0.028227434,0.000796788,0.098673911,0.032909573,0.00108304,172.265625,2041.568024,249.4414646,62221.04425,2284.593171,231.8694545,53763.44391,0.007529414,0.006027274,3.63E-05,3903.254724,688.0812904,473455.8621,0.013650127,0.210768923,-0.186434609,-0.065019782,0.005835622,0.025049242,0.134198746,0.096397044,0.268568041,0.185811016,0.064618692,0.098035339,0.018009303,0.00929239,0.072128793,0.034525734,0.004175575,0.009610928,0.596283177,0.59544016,0.59558385,0.664179595,0.592072059,0.592540709,0.850844107,0.628948212,0.58290211,0.790595586,0.694562819,0.520080394,0.593130521,0.049316347,0.058917079,0.049712678,0.131722432,0.05026536,0.053063062,0.0629865,0.111461703,0.067138967,0.079960901,0.09464135,0.06787879,0.118778485,0.002432102,0.003471222,0.00247135,0.017350799,0.002526606,0.002815689,0.003967299,0.012423711,0.004507641,0.006393746,0.008956985,0.00460753,0.014108328,0.83336252,0.33070296,7.144081593,278.7958374,1.501049876,226.8188324,204.5163269,41826.92969,0.511316299,0.102120593,0.010428616,13.73379612,4.629578114,21.43299484,0.052494749,0.030428657,0.000925903,0.086480848,0.098468728,0.009696091,0.199015841,0.451703817,0.349280536,0.223054916,0.16603443,0.181765243,0.049753495,0.027567431,0.033038605,5.477555275,25.96090508,673.9685669,0.035371002,9,1,0.86930573,451.0364685,0
MT0000446304,0.317691296,0.372925907,0.322813213,0.396665126,0.3298859,0.452370644,0.384090275,0.314255714,0.438622832,0.377298206,0.415214837,0.424198151,0.260082453,0.333758295,0.258944809,0.324450016,0.23942174,0.33091256,0.292937011,0.257566243,0.314632803,0.2749663,0.295465708,0.348434418,0.06764289,0.111394607,0.067052417,0.105267808,0.05732277,0.109503128,0.085812099,0.066340372,0.098993801,0.075606458,0.08729998,0.12140654,-133.7449951,80.04758453,22.82295609,24.4564991,6.665768623,11.80838203,-3.459956884,4.991071701,-7.730223179,3.366943836,-3.874366283,-4.439591885,-5.16804266,62.59428787,30.8893795,23.08785629,15.41056252,11.85924721,13.11417103,11.9090395,10.10074234,9.274923325,8.335100174,8.223387718,9.225417137,8.43450737,3918.044678,954.1538086,533.0490723,237.4854431,140.6417389,171.9814758,141.8252258,102.0249863,86.02420044,69.47389221,67.62410736,85.10832977,71.14092255,0.115096599,0.070008688,0.004901216,0.113968307,0.081582254,0.006655664,172.265625,2604.259345,1022.693622,1045902.245,2755.760728,423.7736735,179584.1263,0.026771992,0.053576641,0.002870457,5811.042836,1809.028804,3272585.212,-0.085311404,-0.072170623,-0.061892983,-0.041039176,-0.015466497,-0.00900012,0.131196614,0.145426425,0.132400756,0.122725681,0.055416312,0.046275101,0.017212552,0.021148845,0.01752996,0.015061593,0.003070968,0.002141385,0.451265153,0.478429405,0.510108103,0.546042249,0.46055728,0.53476725,0.713603195,0.505391664,0.493966089,0.608681418,0.498247845,0.432295931,0.410818042,0.061975967,0.052182215,0.049579485,0.134492927,0.076218108,0.040443743,0.050476804,0.09472656,0.063308797,0.071011413,0.107035871,0.081427419,0.139983933,0.00384102,0.002722984,0.002458125,0.018088347,0.0058092,0.001635696,0.002547908,0.008973121,0.004008004,0.005042621,0.011456678,0.006630424,0.019595502,-0.151064217,0.766530633,1.47274375,541.6582031,1.385198712,232.0724182,187.497879,35155.45703,0.563205361,0.118132412,0.013955266,16.67565536,7.5127244,56.44102859,0.097657718,0.093341313,0.008712601,0.102211237,0.14569281,0.021226393,0.247374147,0.394191533,0.344566941,0.198724717,0.169757485,0.198298872,0.039491516,0.028817605,0.039322443,2.002381325,11.71310711,137.1968842,1.736935973,5,1,0.891720355,439.9672546,0
MT0000523076,0.229085281,0.205808684,0.255997568,0.192755476,0.196605772,0.328236938,0.2467978,0.383401334,0.197569966,0.159167856,0.167959943,0.157733351,0.345897466,0.260759205,0.334738046,0.28710711,0.235961601,0.391182601,0.205504388,0.403139949,0.225388765,0.245119676,0.277026892,0.249630585,0.119645052,0.067995362,0.112049565,0.082430497,0.05567788,0.153023824,0.042232055,0.162521809,0.050800093,0.060083658,0.076743893,0.062315427,-322.4262085,172.2789612,-7.68121767,44.73611069,11.65435123,-3.060442448,8.194981575,-6.328701019,-5.022537231,-3.958688021,-2.037451267,-0.195189908,-2.77278614,60.9412117,35.28916168,19.43346405,10.89159107,7.021757603,7.866230011,6.673656464,6.866035938,7.291612148,7.01272583,5.899498463,6.734899998,7.132301807,3713.831299,1245.324951,377.6595459,118.6267471,49.3050766,61.87757111,44.53769302,47.14244843,53.16761017,49.17832565,34.80408096,45.35887909,50.8697319,0.062072076,0.03807335,0.00144958,0.041786318,0.023026835,0.000530235,123.046875,855.1672723,334.9759057,112208.8574,1130.033419,283.5122152,80379.17617,0.000362909,0.00349676,1.22E-05,1552.643713,842.9122228,710501.0154,0.020521345,0.13733356,0.083984612,-0.011477436,-0.01195804,-0.039770202,0.103035255,0.160850634,0.204810652,0.174498821,0.0893272,0.087669561,0.010616264,0.025872926,0.041947403,0.030449839,0.007979349,0.007685952,0.67651719,0.685959353,0.677876644,0.705770209,0.682569291,0.6887969,0.732144909,0.722176157,0.662360504,0.629513268,0.603128438,0.58568095,0.489864197,0.087081794,0.09139472,0.091911861,0.071877781,0.07178708,0.067962325,0.056138951,0.072402999,0.080869545,0.080540615,0.091239651,0.082439055,0.084021571,0.007583239,0.008352995,0.00844779,0.005166415,0.005153385,0.004618878,0.003151582,0.005242194,0.006539883,0.006486791,0.008324674,0.006796198,0.007059624,1.120927453,2.58911562,15.79986382,237.4916687,0.928067803,279.434021,173.4683075,30091.25195,0.417447686,0.13283284,0.017644562,8.326389313,4.597615719,21.13806915,0.025560487,0.018685516,0.000349148,0.098749876,0.10397277,0.010810337,0.309524387,0.481527597,0.208947808,0.25583899,0.233649552,0.191905886,0.065453582,0.05459211,0.03682787,11.86908913,45.54937744,2074.74585,1.585567355,4,-1,0.879017889,446.465271,0
MT0000661250,0.306638837,0.178151801,0.223746106,0.247047797,0.248599887,0.32473287,0.260050923,0.408190727,0.289087266,0.276400954,0.241469234,0.211087346,0.320807368,0.212475359,0.28203994,0.316946,0.246182263,0.358071238,0.24042882,0.390611976,0.279368579,0.315903962,0.285828441,0.235815227,0.102917358,0.045145776,0.079546534,0.10045477,0.060605709,0.128215015,0.057806015,0.152577713,0.078046806,0.099795304,0.081697896,0.05560882,-148.8855286,149.7352905,-35.03969574,26.82268715,-12.12227631,7.803364754,-13.99067783,7.328460217,-22.40245438,-1.0768857,-7.898972034,-9.238591194,-1.006533027,68.2720871,36.37443924,22.54618263,17.30341339,23.69114113,21.76678658,16.734375,12.40844345,12.60060024,9.349333763,11.78116703,9.278176308,12.22325516,4661.078125,1323.099854,508.3303833,299.4081116,561.2701416,473.7930298,280.0392761,153.9694672,158.7751312,87.41004944,138.7958984,86.08456421,149.4079742,0.167871356,0.084751382,0.007182797,0.083990211,0.042340387,0.001792708,135.9991776,1484.106898,586.2222148,343656.4851,1467.837524,443.0132386,196260.7296,0.000867649,0.02821527,0.000796101,2915.732967,1256.279932,1578239.266,-0.026032462,0.172429191,-0.030413086,0.099679444,0.015058534,0.029468817,0.130694298,0.122138885,0.254771941,0.180078464,0.081492744,0.084829984,0.017081,0.014917907,0.064908742,0.032428253,0.006641067,0.007196126,0.465622177,0.4933179,0.483070159,0.508983643,0.475465038,0.493516273,0.663863522,0.481233595,0.477933228,0.584339108,0.547209156,0.421022864,0.444707138,0.106673294,0.106486428,0.105762887,0.101084885,0.116615873,0.115813276,0.056783,0.105326716,0.107652086,0.089135977,0.085004976,0.100847302,0.076863061,0.011379192,0.011339359,0.011185788,0.010218154,0.013599262,0.013412715,0.003224309,0.011093717,0.011588972,0.007945222,0.007225846,0.010170178,0.00590793,0.385042608,0.609478474,3.036326647,829.4093628,1.286622047,198.5289001,186.6872101,34852.11719,0.507608652,0.122834057,0.015088206,24.47770691,9.840179443,96.82912445,0.126534805,0.095254906,0.009073497,0.099692181,0.114240907,0.013050985,0.2080957,0.44794324,0.34396103,0.218863145,0.191302851,0.233899504,0.047901075,0.036596783,0.05470898,5.65399456,35.74003983,1277.350464,126.4035568,9,1,0.864921033,444.4193726,0
